type,actor,behavior,object,ae,ap,aa,be,bp,ba,oe,op,oa,pae,pap,paa,pbe,pbp,pba,poe,pop,poa,def,dae,daa,dap,dbe,dbp,dba,doe,dop,doa
harm,person,hurt,child,0.93,0.95,0.35,-3.17,1.06,0.92,1.89,-1.14,1.87,-2.7484009499999997,1.106637,0.8481799999999999,-2.92643918,1.20218,0.6281,0.3621029999999998,-1.840805,1.3045000000000002,17.113481787202975,-3.67840095,0.49817999999999996,0.15663700000000014,0.2435608199999999,0.14217999999999997,-0.29190000000000005,-1.527897,-0.7008050000000001,-0.5654999999999999
harm,person,kill,person,0.93,0.95,0.35,-4.26,1.95,-0.11,0.93,0.95,0.35,-2.18158602,1.514157,0.63651,-2.62820748,2.009728,-0.07469999999999999,-0.33253099999999997,-1.107089,0.1462,18.617023132802395,-3.1115860200000003,0.28651000000000004,0.564157,1.6317925199999999,0.059728,0.03530000000000001,-1.262531,-2.057089,-0.20379999999999998
harm,teenager,mock,disabled_person,0.24,-0.58,1.78,-2.48,-0.01,1.6,0.32,-1.07,-1.25,-1.7012672,-0.14422600000000005,1.73312,-1.94722128,0.25174,1.5550000000000002,-0.27460399999999996,-1.579335,-0.7915000000000001,5.138199356397678,-1.9412672,-0.04688000000000003,0.4357739999999999,0.53277872,0.26174000000000003,-0.04499999999999993,-0.5946039999999999,-0.5093349999999999,0.4584999999999999
fairness,athlete,deceive,referee,1.81,2.5,2.45,-2.86,0.43,-0.27,0.71,2.06,1.45,-0.5641146599999998,1.7907440000000001,1.9314900000000002,-1.37969972,1.062016,0.3705000000000001,-0.193681,0.19024400000000025,0.8381,14.096338964983993,-2.37411466,-0.51851,-0.7092559999999999,1.4803002799999998,0.6320160000000001,0.6405000000000001,-0.903681,-1.8697559999999998,-0.6119
fairness,employee,lie_to,boss,1.04,-0.37,0.2,-2.52,0.73,-0.19,0.91,2.79,1.07,-0.6190582,0.229373,0.41838000000000003,-1.2105965600000002,0.799596,-0.015399999999999994,0.009719000000000037,0.5580450000000001,0.5636,10.957848021402073,-1.6590582,0.21838000000000002,0.5993729999999999,1.3094034399999999,0.06959599999999999,0.1746,-0.900281,-2.231955,-0.5064000000000001
fairness,athlete,cheat,rival,1.81,2.5,2.45,-3.29,0.15,-0.14,-0.88,1.28,1.32,-0.19230219999999998,1.7183020000000002,1.97588,-1.01732176,1.006407,0.4365000000000001,-1.027979,-0.020179999999999827,0.7350000000000001,13.130498036788339,-2.0023022,-0.4741200000000001,-0.7816979999999998,2.2726782400000003,0.856407,0.5765000000000001,-0.14797899999999997,-1.30018,-0.585
fairness,judge,befriend,defendant,1.15,2.53,-0.22,2.36,2.17,0.16,0.14,-0.32,-0.15,1.3439463999999997,1.827599,-0.036387999999999976,1.2277272,1.7150519999999998,0.11860000000000001,0.31602199999999997,-0.39482400000000006,-0.011600000000000004,2.1111660092017996,0.19394639999999974,0.18361200000000003,-0.7024009999999998,-1.1322728,-0.45494800000000013,-0.04139999999999999,0.17602199999999996,-0.07482400000000006,0.1384
fairness,student,cheat,classmate,1.67,0.48,0.11,-3.29,0.15,-0.14,0.98,0.15,0.24,-1.6895285199999999,0.4750580000000001,0.451624,-2.16631528,0.548731,-0.07690000000000001,-0.165107,-1.053956,0.1345,15.600708969140864,-3.3595285199999996,0.34162400000000004,-0.004941999999999891,1.12368472,0.39873099999999995,0.0631,-1.1451069999999999,-1.2039559999999998,-0.10549999999999998
authority,daughter,disobey,father,1.99,1.07,1.02,-1.39,0.88,0.59,2.69,2.93,0.51,-0.23593180999999988,1.0680290000000001,1.110692,-1.03592618,0.998066,0.683,1.089737,0.6740260000000002,0.263,12.82222755468527,-2.22593181,0.090692,-0.001970999999999945,0.35407382,0.118066,0.09300000000000008,-1.600263,-2.255974,-0.247
authority,girl,interrupt,teacher,2.1,1.41,0.74,-1.99,0.39,1.84,2.5,2.31,0.32,-0.8126802000000001,1.067655,1.289904,-1.664855,0.7243599999999999,1.3652,0.85208,0.24369800000000025,0.1509,16.36009046794204,-2.9126802,0.549904,-0.3423449999999999,0.325145,0.3343599999999999,-0.4748000000000001,-1.64792,-2.066302,-0.1691
authority,intern,disobey,boss,1.41,-1.39,0.05,-1.39,0.88,0.59,0.91,2.79,1.07,-0.06964385000000005,-0.305989,0.49522999999999995,-0.69982018,0.631954,0.5570999999999999,0.19088300000000008,0.8494500000000001,0.5862,8.618538938104054,-1.47964385,0.44522999999999996,1.0840109999999998,0.6901798199999999,-0.248046,-0.03290000000000004,-0.719117,-1.94055,-0.4838
authority,athlete,yell_at,coach,1.81,2.5,2.45,-1.74,1.13,2.64,1.96,2.37,2.19,-0.71278016,1.969046,2.28042,-1.44810648,1.425894,2.2777000000000003,0.662558,0.3932690000000001,1.3709,13.240851638184616,-2.52278016,-0.16958000000000029,-0.5309539999999999,0.2918935199999999,0.2958940000000001,-0.36229999999999984,-1.297442,-1.976731,-0.8190999999999999
authority,student,insult,professor,1.67,0.48,0.11,-2.6,-0.06,1.4,1.83,2.27,0.24,-1.029992,0.35806000000000004,0.84666,-1.8238012000000001,0.32424000000000003,0.9362999999999999,0.410214,0.22421000000000002,0.0678,15.043338613881442,-2.699992,0.73666,-0.12193999999999994,0.7761988,0.38424,-0.4637,-1.419786,-2.04579,-0.1722
loyalty,employee,conspire_with,competitor,1.04,-0.37,0.2,-0.53,1.24,0.08,0.52,1.59,1.4,0.029800440000000008,0.32848399999999994,0.37404000000000004,-0.29340948,0.95542,0.23700000000000002,0.14399599999999999,0.3718710000000001,0.8694999999999999,3.606930340091064,-1.01019956,0.17404000000000003,0.6984839999999999,0.23659052000000003,-0.28457999999999994,0.15700000000000003,-0.376004,-1.218129,-0.5305
loyalty,coach,cheer,rival,1.96,2.37,2.19,3.16,2.61,2.28,-0.88,1.28,1.32,1.2827807999999998,1.9135069999999998,1.8116079999999999,0.9196006400000001,1.8203119999999997,2.1839,-0.11611999999999995,0.7901800000000001,0.8640000000000001,7.49379613599405,-0.6772192000000001,-0.37839200000000006,-0.45649300000000026,-2.24039936,-0.7896880000000002,-0.09609999999999985,0.7638800000000001,-0.4898199999999999,-0.45599999999999996
loyalty,man,betray,relative,1.1,1.63,0.62,-3.34,0.53,0.26,2.35,1.59,0.96,-2.0945387999999996,1.289315,0.857928,-2.586348,0.94019,0.23440000000000005,0.523355,-0.5378229999999998,0.5778,19.124996195672438,-3.1945387999999997,0.23792800000000003,-0.3406849999999999,0.7536519999999998,0.41018999999999994,-0.025599999999999956,-1.826645,-2.127823,-0.3822
loyalty,mayor,slander,neighbor,1.03,2.02,0.75,-3.18,0.69,1.4,1.46,0.49,0.07,-2.0434886,1.5446820000000001,1.2053,-2.4541876800000004,1.156262,0.9806999999999999,0.11870399999999993,-1.009735,0.0219,14.850167371802742,-3.0734886,0.45530000000000004,-0.4753179999999999,0.7258123199999997,0.46626199999999995,-0.4193,-1.341296,-1.499735,-0.048100000000000004
loyalty,man,betray,wife,1.1,1.63,0.62,-3.34,0.53,0.26,2.62,2.21,1.03,-2.0248115999999996,1.2910970000000002,0.857928,-2.5737076,0.9274359999999999,0.23440000000000005,0.6497900000000001,-0.2509309999999998,0.6011000000000001,20.803591329342314,-3.1248115999999997,0.23792800000000003,-0.33890299999999973,0.7662923999999998,0.3974359999999999,-0.025599999999999956,-1.97021,-2.4609309999999995,-0.42889999999999995
purity,person,hire,prostitute,0.93,0.95,0.35,2.23,2.39,0.11,-1.35,-1.35,0.93,0.86622235,1.15087,0.30629,0.8414047,1.471524,0.3257,-0.621708,-0.968705,0.7054,3.590888743686613,-0.06377765000000002,-0.04370999999999997,0.2008700000000001,-1.3885953,-0.9184760000000001,0.2157,0.728292,0.38129500000000005,-0.22460000000000002
purity,man,marry,cousin,1.1,1.63,0.62,2.52,2.28,0.21,1.58,0.38,0.7,1.7642576,1.593996,0.493688,1.6660432000000003,1.7875679999999998,0.4368,1.286352,0.11105600000000006,0.5608,1.6595955624479994,0.6642576,-0.12631199999999998,-0.036003999999999925,-0.8539567999999997,-0.492432,0.22680000000000003,-0.29364800000000013,-0.26894399999999996,-0.1392
purity,man,make_love_to,sister,1.1,1.63,0.62,3.14,2.79,1.08,1.91,1.23,1.06,2.0634688,1.766789,0.6764239999999999,2.0190688000000003,2.1496619999999997,1.0184000000000002,1.615949,0.7457030000000001,0.7782000000000001,3.020901911057879,0.9634687999999998,0.05642399999999992,0.13678900000000005,-1.1209311999999998,-0.6403380000000003,-0.06159999999999988,-0.29405099999999984,-0.48429699999999987,-0.28179999999999994
purity,mother,sexually_arouse,son,3.05,2.66,0.76,2.28,2.34,0.96,1.68,1.4,0.86,2.6747575999999995,2.099484,0.8767240000000001,1.7254743999999997,2.076052,0.9221999999999999,1.4352999999999998,0.6796719999999998,0.6136,1.4866690425331208,-0.3752424000000003,0.11672400000000005,-0.5605160000000002,-0.5545256000000001,-0.26394800000000007,-0.037800000000000056,-0.24470000000000014,-0.7203280000000001,-0.24639999999999995
purity,married_person,have_sex_with,adulterer,1.32,1.13,0.15,2.09,2.45,1.74,-2.98,-0.15,0.21,0.36458068000000005,1.153593,0.66554,0.15876852000000005,1.433942,1.3063,-1.638934,-0.287076,0.11850000000000001,7.954908873117253,-0.9554193200000001,0.51554,0.023593000000000197,-1.93123148,-1.0160580000000001,-0.4337,1.341066,-0.137076,-0.09149999999999998
harm,wife,hit,forgetful_husband,2.62,2.21,1.03,-2.66,1.3,2.12,-0.61,0.45,-0.59,-0.36091883999999996,1.805776,1.573584,-1.2042797600000001,1.634586,1.5583,-0.912782,-0.703782,-0.46340000000000003,13.330251239488604,-2.98091884,0.5435840000000001,-0.4042239999999999,1.45572024,0.33458600000000005,-0.5617000000000001,-0.302782,-1.153782,0.12659999999999993
harm,teacher,hit,lazy_student,2.5,2.31,0.32,-2.66,1.3,2.12,-0.42,-0.76,-1.56,-0.9949060000000002,1.8152220000000001,1.2034960000000001,-1.5286080000000002,1.6322160000000001,1.3582,-0.844032,-1.4254360000000001,-1.0374,16.106211935576003,-3.4949060000000003,0.8834960000000001,-0.49477799999999994,1.131392,0.33221600000000007,-0.7618,-0.424032,-0.6654360000000001,0.5226
